id|name|imdbScore|year|category|link
80|La Vie est Belle|8.6|1946|drama|https://www.primevideo.com/detail/0P9CY07HMYJKEUGIACPC6GEZMI/ref=br_def_r_br_c_ds4sVpsmr_1_251
5|Gladiator|8.5|2000|drama|https://www.primevideo.com/detail/0I9W28WNYJE1W14IIK4D3UP4M3/ref=br_def_r_br_c_ds4sVpsmr_1_5
36|Il était une fois en Amérique|8.4|1984|drama|https://www.primevideo.com/detail/0ND6SCFEYWIRDPBK2GIWSP6UJM/ref=br_def_r_br_c_ds4sVpsmr_1_70
66|American Beauty|8.4|1999|drama|https://www.primevideo.com/detail/0I1CGN2Y3R00Y5USXND1LHF4B9/ref=br_def_r_br_c_ds4sVpsmr_1_181
32|L.A. Confidential|8.3|1997|drama|https://www.primevideo.com/detail/0LL8YJ5XGF1AIXTIOLQQX5P8XY/ref=br_def_r_br_c_ds4sVpsmr_1_55
38|Taxi Driver|8.3|1976|drama|https://www.primevideo.com/detail/0QK98ZEJHTDZC4R8LFKM42VT4O/ref=br_def_r_br_c_ds4sVpsmr_1_72
69|Kavaludaari|8.3|2019|drama|https://www.primevideo.com/detail/0K659E9DIARDKZR8TBDUGWH9CL/ref=br_def_r_br_c_ds4sVpsmr_1_197
30|Heat|8.2|1995|drama|https://www.primevideo.com/detail/0LPIETH9MIDPC7M1TBM4U7BV4I/ref=br_def_r_br_c_ds4sVpsmr_1_52
6|Arrête-Moi Si Tu Peux|8.1|2002|drama|https://www.primevideo.com/detail/0T1RKA5DY5Z7YSQ3XG4W1F47CG/ref=br_def_r_br_c_ds4sVpsmr_1_7
24|Jfk|8.0|1991|drama|https://www.primevideo.com/detail/0KN5B0OK773MH5E9TR90U81406/ref=br_def_r_br_c_ds4sVpsmr_1_40
28|The Revenant|8.0|2015|drama|https://www.primevideo.com/detail/0LCPYMTJRK4TS7ST1O9E5NQQWF/ref=br_def_r_br_c_ds4sVpsmr_1_48
48|Brazil|8.0|1985|drama|https://www.primevideo.com/detail/0QX2AQ1LVNKHG0POOIMBBJEF47/ref=br_def_r_br_c_ds4sVpsmr_1_118
33|American Gangster|7.8|2007|drama|https://www.primevideo.com/detail/0QK8X9RC5QY708M7ZWLMVFMVL5/ref=br_def_r_br_c_ds4sVpsmr_1_57
39|Bienvenue à Gattaca|7.8|1997|drama|https://www.primevideo.com/detail/0GQGTTMJCM1PDHQWANMLX1WCPS/ref=br_def_r_br_c_ds4sVpsmr_1_76
2|Man on fire|7.7|2004|drama|https://www.primevideo.com/detail/0QSSVY2J3P92G3CWZQ9BF26LTO/ref=br_def_r_br_c_ds4sVpsmr_1_2
40|Lucifer (Malayalam)|7.7|2019|drama|https://www.primevideo.com/detail/0NYJS1ARLZXEBXPMBA0YIMASOO/ref=br_def_r_br_c_ds4sVpsmr_1_80
58|Des Hommes D'honneur|7.7|1992|drama|https://www.primevideo.com/detail/0T61ESW8AHQXXE50HBCG2TIDET/ref=br_def_r_br_c_ds4sVpsmr_1_138
59|Lucifer (Telugu)|7.7|2019|drama|https://www.primevideo.com/detail/0NQ0VFZCDBDQ7A03X7JOET8KZ9/ref=br_def_r_br_c_ds4sVpsmr_1_143
63|Lucifer (Tamil)|7.7|2019|drama|https://www.primevideo.com/detail/0JXMDYYYTFZLORFDB7TXW6YEPP/ref=br_def_r_br_c_ds4sVpsmr_1_168
14|Apollo 13|7.6|1995|drama|https://www.primevideo.com/detail/0TEJSSSC5M3PH1O17J6XLXADB4/ref=br_def_r_br_c_ds4sVpsmr_1_19
16|Watchmen - Les Gardiens|7.6|2009|drama|https://www.primevideo.com/detail/0QSRULL2UXNOEXW60UK4UP7N29/ref=br_def_r_br_c_ds4sVpsmr_1_23
25|Les Misérables|7.6|2013|drama|https://www.primevideo.com/detail/0GM6XXIOGZB5RCGS3YWU4VNCR8/ref=br_def_r_br_c_ds4sVpsmr_1_41
42|Munich|7.6|2005|drama|https://www.primevideo.com/detail/0KELINTTPUSTYV4Q6SCUKNW4OL/ref=br_def_r_br_c_ds4sVpsmr_1_82
50|L'incroyable destin de Harold Crick. (2006)|7.6|2006|drama|https://www.primevideo.com/detail/0Q37XSROPT4X19GM1HRBGJV8WP/ref=br_def_r_br_c_ds4sVpsmr_1_122
52|Sept vies|7.6|2008|drama|https://www.primevideo.com/detail/0SGGGAO693JXHGKCGRAPZZ2LK4/ref=br_def_r_br_c_ds4sVpsmr_1_124
61|Le Stratege|7.6|2011|drama|https://www.primevideo.com/detail/0MRUQ2RX6HVX1K13VYGP1K9OO9/ref=br_def_r_br_c_ds4sVpsmr_1_157
67|In The Air|7.4|2009|drama|https://www.primevideo.com/detail/0RQVGN3AKU7JY0Q26WXXXTCSDT/ref=br_def_r_br_c_ds4sVpsmr_1_182
70|Yajamana|7.4|2019|drama|https://www.primevideo.com/detail/0IV96ITTNJ65L0GWVVNATWMBCG/ref=br_def_r_br_c_ds4sVpsmr_1_208
7|Closer, entre adultes consentants|7.3|2004|drama|https://www.primevideo.com/detail/0Q37K573I9MSMHI04TY19TT5Y1/ref=br_def_r_br_c_ds4sVpsmr_1_8
21|A Destiny of Her Own|7.3|1999|drama|https://www.primevideo.com/detail/0I5MSSQG0EBZ3D0XNDKQOCEN0J/ref=br_def_r_br_c_ds4sVpsmr_1_36
29|Négociateur|7.3|1998|drama|https://www.primevideo.com/detail/0H39R75ZDXTDOM7DN1TA04KU73/ref=br_def_r_br_c_ds4sVpsmr_1_49
41|Tueurs Nés|7.3|1994|drama|https://www.primevideo.com/detail/0IMON2OPTZ4ZOEZ6SVGKCAX0ZU/ref=br_def_r_br_c_ds4sVpsmr_1_81
46|Les Ombres du Coeur|7.3|1993|drama|https://www.primevideo.com/detail/0RZEDAG0LD81PPFBFJYYT1IG1N/ref=br_def_r_br_c_ds4sVpsmr_1_95
51|Blessures secrètes|7.3|1993|drama|https://www.primevideo.com/detail/0GQHFR7PGFQUX2S9SB89H0CQAB/ref=br_def_r_br_c_ds4sVpsmr_1_123
62|Amistad|7.3|1997|drama|https://www.primevideo.com/detail/0JXJPLAYHO6RIM6GEMKM8V1X1J/ref=br_def_r_br_c_ds4sVpsmr_1_158
68|Layer Cake|7.3|2004|drama|https://www.primevideo.com/detail/0RE3KDSTE3BMG4Y9EGAYL0CCLH/ref=br_def_r_br_c_ds4sVpsmr_1_185
75|Le Terminal|7.3|2004|drama|https://www.primevideo.com/detail/0ST9HAOV9Q3I5OYVWQLT4ZW8DN/ref=br_def_r_br_c_ds4sVpsmr_1_233
77|Les Leçons de la Vie|7.3|1994|drama|https://www.primevideo.com/detail/0FBB1TWV0G8G0WQPZAEIKCRUFA/ref=br_def_r_br_c_ds4sVpsmr_1_245
81|The Place Beyond The Pines|7.3|2012|drama|https://www.primevideo.com/detail/0FWMV02SAQ2OA19FQMFUJAT7M4/ref=br_def_r_br_c_ds4sVpsmr_1_283
